#	Country (eng)	Country (nat)	Language	Bounding boxes
United Arab Emirates 	 الإمارات العربيّة المتحدّة 	 ar 	 (51.5795186705, 22.4969475367, 56.3968473651, 26.055464179)
Afghanistan 	 افغانستان 	 fa 	 (60.5284298033, 29.318572496, 75.1580277851, 38.4862816432)
Albania 	 Shqipëria 	 sq 	 (19.3044861183, 39.624997667, 21.0200403175, 42.6882473822)
Armenia 	 Հայաստանի Հանրապետութիւն 	 hy 	 (43.5827458026, 38.7412014837, 46.5057198423, 41.2481285671)
Angola 	 Angola 	 pt 	 (11.6400960629, -17.9306364885, 24.0799052263, -4.43802336998)
Argentina 	 Argentina 	 es 	 (-73.4154357571, -55.25, -53.628348965, -21.8323104794)
Austria 	 Österreich 	 de 	 (9.47996951665, 46.4318173285, 16.9796667823, 49.0390742051)
Australia 	 Australia 	 en 	 (113.338953078, -43.6345972634, 153.569469029, -10.6681857235)
Azerbaijan 	 Azərbaycan 	 az 	 (44.7939896991, 38.2703775091, 50.3928210793, 41.8606751572)
Bosnia and Herzegovina 	 Bosna i Hercegovina 	 bs 	 (15.7500260759, 42.65, 19.59976, 45.2337767604)
Bangladesh 	 বাংলাদেশ 	 bn 	 (88.0844222351, 20.670883287, 92.6727209818, 26.4465255803)
Belgium 	 België 	 nl 	 (2.51357303225, 49.5294835476, 6.15665815596, 51.4750237087)
Burkina Faso 	 Burkina Faso 	 fr 	 (-5.47056494793, 9.61083486576, 2.17710778159, 15.1161577418)
Bulgaria 	 България 	 bg 	 (22.3805257504, 41.2344859889, 28.5580814959, 44.2349230007)
Burundi 	 Burundi 	 fr 	 (29.0249263852, -4.49998341229, 30.752262811, -2.34848683025)
Benin 	 Bénin 	 fr 	 (0.772335646171, 6.14215770103, 3.79711225751, 12.2356358912)
Brunei Darussalam 	 Brunei Darussalam 	 ms 	 (114.204016555, 4.007636827, 115.450710484, 5.44772980389)
Bolivia, Plurinational State of 	 Bolivia, Estado plurinacional de 	 es 	 (-69.5904237535, -22.8729187965, -57.4983711412, -9.76198780685)
Brazil 	 Brasil 	 pt 	 (-73.9872354804, -33.7683777809, -34.7299934555, 5.24448639569)
Bahamas 	 Bahamas 	 en 	 (-78.98, 23.71, -77.0, 27.04)
Botswana 	 Botswana 	 en 	 (19.8954577979, -26.8285429827, 29.4321883481, -17.6618156877)
